Winner,HeightDif,ReachDif,AgeDif,WinStreakDif,LossDif,SigStrDif,AvgTDDif,BlueAvgSigStrLanded,RedAvgSigStrLanded,BlueAvgSigStrPct,RedAvgSigStrPct,BlueAvgTDLanded,RedAvgTDLanded,BlueAvgTDPct,RedAvgTDPct,BlueAvgSubAtt,RedAvgSubAtt,TotalRoundDif,TotalTitleBoutDif,BlueWins,RedWins,BlueLosses,RedLosses,RedStance,BlueStance,RedOdds,BlueOdds,RedWeightLbs,BlueWeightLbs,RMatchWCRank,BMatchWCRank
Red,-5.08,2.54,8,1,7,-0.27,-0.23,3.03,3.3,0.47,0.4,1.09,1.32,0.36,0.35,0.5,1.7,56,1,21,8,13,6,Orthodox,Southpaw,,,205,205,,
Blue,0.0,-7.62,-1,0,2,2.63,-2.71,4.82,2.19,0.47,0.39,0.57,3.28,0.14,0.36,0.1,0.3,1,-4,9,10,7,5,Orthodox,Orthodox,,,115,115,,
Red,7.62,0.0,1,0,1,0.44,-0.73,5.04,4.6,0.49,0.37,1.14,1.87,0.4,0.25,0.2,0.5,6,-1,15,10,13,12,Orthodox,Orthodox,,,170,170,,
Red,0.0,2.54,-7,-3,-3,0.75,2.1,5.17,4.42,0.53,0.49,3.97,1.87,0.37,0.44,1.2,0.6,-22,0,5,11,2,5,Orthodox,Southpaw,210.0,-258.0,155,155,11.0,
Red,-2.54,0.0,-1,5,0,-0.72,0.79,3.79,4.51,0.53,0.55,1.67,0.88,0.39,0.36,1.3,1.2,4,0,13,6,2,2,Orthodox,Orthodox,-225.0,185.0,185,185,4.0,8.0
Red,-10.16,-2.54,2,2,1,0.33,2.3,3.02,2.69,0.5,0.5,3.08,0.78,0.68,0.37,0.9,0.5,4,0,6,3,1,0,Southpaw,Orthodox,245.0,-305.0,145,145,,
Blue,-2.54,5.08,-1,0,1,-2.29,-0.09,5.44,7.73,0.53,0.56,0.96,1.05,0.23,0.4,0.5,0.5,10,0,5,2,1,0,Orthodox,Orthodox,160.0,-192.0,170,170,,
Red,7.62,5.08,6,1,0,-1.05,1.38,2.82,3.87,0.4,0.51,3.85,2.47,0.33,0.57,1.3,0.6,-1,0,1,1,1,1,Orthodox,Orthodox,-520.0,390.0,145,145,,
Red,-10.16,-10.16,7,-3,2,0.45,1.11,3.37,2.92,0.4,0.5,2.39,1.28,0.39,0.36,1.0,0.3,1,0,6,5,4,2,Orthodox,Orthodox,-125.0,105.0,155,155,,
Red,2.54,-7.62,2,0,-9,-1.69,-3.04,2.6,4.29,0.56,0.43,1.0,4.04,0.5,0.52,0.0,0.0,-30,0,0,6,0,9,Southpaw,Orthodox,-102.0,-118.0,205,205,,
