Winner,HeightDif,ReachDif,AgeDif,LossDif,SigStrDif,AvgTDDif,TotalRoundDif,TotalTitleBoutDif,WeightDif,AvgSigStrPctDif,AvgTDPctDif,AvgSubAttDif,WinsDif,OddsDif,RankDif
0,10.16,-2.54,-4.0,-2.0,-16.3333,0.0,7.0,0.0,-10.0,-0.493,0.0,-1.0,-1.0,355.0,0
1,-5.08,-2.54,-7.0,0.0,-39.0,1.0,3.0,-1.0,0.0,-0.15000000000000002,0.33,0.0,-1.0,-510.0,-16.0
1,-2.54,5.08,-2.0,-5.0,9.318199999999997,-0.27280000000000004,5.0,-1.0,-15.0,-0.062000000000000055,-0.056999999999999995,-0.5910000000000001,5.0,-550.0,-9.0
1,-7.62,-17.78,2.0,-1.0,-7.0,0.0,1.0,0.0,10.0,-0.58,0.0,0.0,0.0,-375.0,-3.0
0,7.62,7.62,5.0,4.0,-56.3077,1.0,-11.0,0.0,0.0,-0.11099999999999993,0.11,-0.10249999999999998,6.0,535.0,-3.0
0,10.16,2.54,-6.0,2.0,-3.0199999999999996,1.96,-30.0,-3.0,10.0,-0.08999999999999997,-0.14999999999999997,0.39999999999999997,6.0,-468.0,-2.0
1,-2.54,-2.54,4.0,4.0,1.1400000000000001,0.06999999999999984,-20.0,0.0,0.0,-0.07,0.07999999999999996,0.0,5.0,290.0,-6.0
1,0.0,-5.08,6.0,-2.0,0.6987000000000023,-1.3525,4.0,-9.0,15.0,0.31699999999999995,-0.19399999999999998,-0.20519999999999994,3.0,-1100.0,0
1,5.08,0.0,2.0,-4.0,-1.75,2.8899999999999997,23.0,0.0,0.0,0.019999999999999962,0.48,1.6,-3.0,0.0,0
0,0.0,2.54,6.0,-1.0,0.73,1.2,12.0,0.0,0.0,0.09999999999999998,0.21999999999999997,-0.8,-5.0,-5.0,0
0,-2.54,-7.62,-3.0,1.0,0.75,-0.42000000000000004,-21.0,0.0,0.0,0.010000000000000009,-0.17999999999999997,-0.3,6.0,16.0,0
0,-5.08,5.08,3.0,1.0,60.8333,1.8333,-16.0,0.0,10.0,0.525,0.283,2.5,5.0,-975.0,-11.0
1,-5.08,2.54,-12.0,-7.0,52.764700000000005,0.05879999999999996,36.0,0.0,0.0,0.06800000000000006,0.638,-0.4706,-9.0,-370.0,0
0,7.62,12.7,7.0,5.0,-9.912499999999994,0.2875,-33.0,0.0,0.0,-0.016000000000000014,-0.02100000000000002,-0.07500000000000001,6.0,345.0,-10.0
0,0.0,0.0,-7.0,0.0,-0.81,0.0,0.0,0.0,14.0,0.13,0.0,0.0,0.0,10.0,0
1,2.54,-2.54,-7.0,5.0,1.0,-0.9299999999999999,-27.0,0.0,0.0,0.08999999999999997,-0.07,-1.2,1.0,525.0,9.0
0,2.54,-12.7,2.0,0.0,1.5,-2.78,4.0,0.0,0.0,0.010000000000000009,-0.06000000000000005,0.0,-1.0,-10.0,0
0,-2.54,-10.16,3.0,2.0,1.6964000000000006,-1.25,-10.0,-3.0,-10.0,0.062,-0.15200000000000002,-0.017900000000000027,4.0,-270.0,0
1,5.08,2.54,5.0,0.0,1.5200000000000005,1.1,-10.0,0.0,0.0,0.09000000000000002,0.04999999999999993,0.2,2.0,-710.0,0
0,-2.54,-10.16,3.0,1.0,3.47,8.33,-2.0,0.0,0.0,0.54,0.85,0.7,0.0,-297.0,0
1,-10.16,5.08,4.0,3.0,0.15000000000000036,-0.07,-8.0,0.0,0.0,0.03999999999999998,0.0,0.0,-1.0,-234.0,0
1,-5.08,-7.62,-2.0,-2.0,20.9375,-0.3125,8.0,-2.0,0.0,-0.032999999999999974,-0.144,-0.5625,-6.0,-535.0,-4.0
1,-12.7,-10.16,8.0,1.0,4.0,0.0,-1.0,-1.0,10.0,0.66,0.0,1.0,0.0,-935.0,-15.0
0,0.0,-2.54,2.0,0.0,16.680400000000002,0.017400000000000082,-25.0,-2.0,15.0,-0.04799999999999999,-0.131,-0.5174000000000001,3.0,-230.0,0
0,-7.62,-10.16,-1.0,-1.0,-0.6800000000000002,-0.69,6.0,0.0,0.0,-0.17000000000000004,-0.4,0.0,-1.0,334.0,0
1,0.0,-5.08,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-668.0,0
